datetime,timezone,platform,type,media_path,caption_path,status,thumbnail_path
2025-09-10T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day25_916.mp4,./content/captions/2025-09-10.txt,pending,
2025-09-11T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day26.jpg,./content/captions/2025-09-11.txt,pending,
2025-09-11T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day26.jpg,./content/captions/2025-09-11.txt,pending,
2025-09-11T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day26_916.mp4,./content/captions/2025-09-11.txt,pending,./assets/images_final/square/day26_thumb.jpg
2025-09-11T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day26_916.mp4,./content/captions/2025-09-11.txt,pending,
2025-09-12T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day27.jpg,./content/captions/2025-09-12.txt,pending,
2025-09-12T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day27.jpg,./content/captions/2025-09-12.txt,pending,
2025-09-12T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day27_916.mp4,./content/captions/2025-09-12.txt,pending,./assets/images_final/square/day27_thumb.jpg
2025-09-12T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day27_916.mp4,./content/captions/2025-09-12.txt,pending,
2025-09-13T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day28.jpg,./content/captions/2025-09-13.txt,pending,
2025-09-13T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day28.jpg,./content/captions/2025-09-13.txt,pending,
2025-09-13T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day28_916.mp4,./content/captions/2025-09-13.txt,pending,./assets/images_final/square/day28_thumb.jpg
2025-09-13T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day28_916.mp4,./content/captions/2025-09-13.txt,pending,
2025-09-14T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day29.jpg,./content/captions/2025-09-14.txt,pending,
2025-09-14T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day29.jpg,./content/captions/2025-09-14.txt,pending,
2025-09-14T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day29_916.mp4,./content/captions/2025-09-14.txt,pending,./assets/images_final/square/day29_thumb.jpg
2025-09-14T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day29_916.mp4,./content/captions/2025-09-14.txt,pending,
2025-09-15T07:30:00,Asia/Bangkok,facebook,image,./assets/images_final/square/day30.jpg,./content/captions/2025-09-15.txt,pending,
2025-09-15T07:35:00,Asia/Bangkok,instagram,image,./assets/images_final/square/day30.jpg,./content/captions/2025-09-15.txt,pending,
2025-09-15T07:45:00,Asia/Bangkok,youtube,shorts,./assets/videos_final/day30_916.mp4,./content/captions/2025-09-15.txt,pending,./assets/images_final/square/day30_thumb.jpg
2025-09-15T07:50:00,Asia/Bangkok,tiktok,video,./assets/videos_final/day30_916.mp4,./content/captions/2025-09-15.txt,pending,
